run_number,timestamp_ms,state,voltage,yaw,pitch,roll,pitchIn,pitchOut,pitchSetpt,rollIn,rollOut,rollSetpt,yawIn,yawOut,yawSetpt,motorTL,motorTR,motorBL,motorBR
1,11306,0,11.83,-179.929,-3.647,2.160,-3.6466,0.1200,2.0000,2.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2400,0.2400
1,11323,0,11.81,-179.922,-3.626,2.174,-3.6257,0.1200,2.0000,2.1739,-0.0648,0.0000,0.0000,0.0000,0.0000,0.0648,-0.0648,0.1752,0.3048
1,11343,0,11.71,-179.921,-3.605,2.167,-3.6047,0.1200,2.0000,2.1669,-0.0652,0.0000,0.0000,0.0000,0.0000,0.0652,-0.0652,0.1748,0.3052
1,11363,0,11.80,-179.914,-3.598,2.153,-3.5978,0.1200,2.0000,2.1527,-0.0650,0.0000,0.0000,0.0000,0.0000,0.0650,-0.0650,0.1750,0.3050
1,11383,0,11.80,-179.920,-3.591,2.132,-3.5907,0.1200,2.0000,2.1319,-0.0646,0.0000,0.0000,0.0000,0.0000,0.0646,-0.0646,0.1754,0.3046
1,11403,0,11.75,-179.919,-3.577,2.125,-3.5766,0.1200,2.0000,2.1249,-0.0640,0.0000,0.0000,0.0000,0.0000,0.0640,-0.0640,0.1760,0.3040
1,11423,0,11.74,-179.926,-3.562,2.118,-3.5625,0.1200,2.0000,2.1182,-0.0637,0.0000,0.0000,0.0000,0.0000,0.0637,-0.0637,0.1763,0.3037
1,11443,0,11.80,-179.933,-3.548,2.125,-3.5484,0.1200,2.0000,2.1254,-0.0635,0.0000,0.0000,0.0000,0.0000,0.0635,-0.0635,0.1765,0.3035
1,11463,0,11.80,-179.947,-3.534,2.140,-3.5341,0.1200,2.0000,2.1398,-0.0638,0.0000,0.0000,0.0000,0.0000,0.0638,-0.0638,0.1762,0.3038
1,11483,0,11.74,-179.946,-3.534,2.119,-3.5341,0.1200,2.0000,2.1189,-0.0642,0.0000,0.0000,0.0000,0.0000,0.0642,-0.0642,0.1758,0.3042
1,11503,0,11.74,-179.946,-3.548,2.098,-3.5481,0.1200,2.0000,2.0978,-0.0636,0.0000,0.0000,0.0000,0.0000,0.0636,-0.0636,0.1764,0.3036
1,11523,0,11.68,-179.939,-3.562,2.077,-3.5622,0.1200,2.0000,2.0766,-0.0629,0.0000,0.0000,0.0000,0.0000,0.0629,-0.0629,0.1771,0.3029
1,11543,0,11.76,-179.932,-3.562,2.083,-3.5623,0.1200,2.0000,2.0834,-0.0623,0.0000,0.0000,0.0000,0.0000,0.0623,-0.0623,0.1777,0.3023
1,11563,0,11.78,-179.933,-3.583,2.097,-3.5834,0.1200,2.0000,2.0974,-0.0625,0.0000,0.0000,0.0000,0.0000,0.0625,-0.0625,0.1775,0.3025
